Not_offensive 	 Ithu ikkayude script aanu..   Uttopiya
Not_offensive 	 Varunnathu manthriyo bhadano alla rajavanu rajavu
Not_offensive 	 ഇഷ്ടമാണ്. But ചില സിനിമയിൽ over actigalle എന്ന് തോന്നും..
Not_offensive 	 enna look a rajuettaaaaa............ promising trailor
Offensive	 ഇത് മൂഞ്ചും ഉറപ്പ്  എന്ത് ഊള ട്രൈേലർ
Not_offensive 	 Ikkha Mess aanu  #mamookkha  #dq
Not_offensive 	 സുരാജേട്ടന് കോമഡി മാത്രമല്ല സീരിയസ് റോളുകളും വഴങ്ങുമെന്ന് പുള്ളി വീണ്ടും വീണ്ടും തെളിയിച്ചു കൊണ്ടിരിക്കുവാണല്ലോ
Not_offensive 	 ഇത് Unni R ന്റെ 'സങ്കടം' എന്ന ചെറുകഥയാണെന്ന് തോന്നുന്നു
Not_offensive 	 ട്രാക്ക് കൊള്ളില്ല അതു മാറ്റാൻ shine nigam ആക്ഷൻ കാണിക്കുന്നത് track.inte T 
Not_offensive 	 Prayam oru number maathram thalivaa
Offensive	 4 varsham royal mech innu paranjau nadanannu
Offensive	 Enth paaandi bgm aaan gobi
Not_offensive 	 ഒരു പക്ഷേ ഈ പടത്തിൽ രാജുവേട്ടനെക്കാൾ കയ്യടി സുരാജേട്ടനായിരിക്കാം....
Not_offensive 	 0:53 ippozzhalle pidi kittiyathu ee cinemayude viewsinte rahasyem .  Ellaam annachimaarkum bhayankara akaamsha aanelloo .
Not_offensive 	 മോഹൻലാൽ ഫാനൊന്നുമല്ല. But Trailer soooper.  രാജുവേട്ടന്റെ first padam hit aavatte katta waiting
Not_offensive 	 Traileril PrithwiRaj ne kandavar aarokke?
Not_offensive 	 Orumathiri english padangalude trailer pole ayi.padam motham kanichallo
Not_offensive 	 Eee padam pwolikum..... Aah വിശ്വാസം anu eee comnt
Not_offensive 	 മഞ്ജു ചേച്ചിയുടെ ശക്തമായ കഥാപാത്രം വീണ്ടും അവതരിക്കുന്നു
Not_offensive 	 Rajayum rajede pillarum stonga tripple strong
Not_offensive 	 State award..Ath Surajeettan kondu poyirikkum..
Not_offensive 	 Jeyetta padam full undo trailer il?? Sambavam colour aayittundalloo...
Not_offensive 	 മമ്മൂട്ടി അത്ഭുതമനുഷ്യൻ തന്നെ. ഈ പ്രായത്തിൽ ഈ ലുക്കിൽ ഈ എനര്ജിയിൽ പെർഫോം ചെയ്ത ചരിത്രം ലോകസിനിമാ സാംസ്കാരിക ദൃശ്യകലാമേഖലകളിൽ എവിടെയും ഇല്ല
Not_offensive 	 Pazzhassirajaye  kadathi vettum e maamangam.
Not_offensive 	 Tralier കണ്ടപ്പോൾ കഥ മുഴുവൻ(ഗതി) മനസ്സിലായവർ ഉണ്ടോ
Not_offensive 	 Ettanay kanan vendiii veendum veendum varunnay njn mathrano
Not_offensive 	 ഇത് പൊളിക്കും എന്ന് അഭിപ്രായമുള്ളവർ ലൈക്ക്ഞാൻ നേരത്തെ ലൈക്കി
Not_offensive 	 ഇന്ന് പടം കണ്ടു ഒരു രക്ഷയും ഇല്ല
Offensive	 ee chanakathinte cinema nammal kanano theerumanikkuka jai hind
Offensive	 Dislike adichavan maarude nenjathu irikkatte ente like THENDIKAL
Not_offensive 	 Onnil kooduthal kandaavar ividea like adikk..nan.matram ano
Offensive	 Ikka fansinte 25 k dislike undallo... dislike adichittu karanjolu
Not_offensive 	 ആർക്കും വേല ചെയ്യാൻ പറ്റാത്ത കാലം അടുത്ത് വരുകയാണ്
Offensive	 ഞമ്മന്റെ ആൾക്കാർ കിടന്നു ഉമ്പുന്നുണ്ടലോ...ഇതേതോ കുന്നം കുളം video ആണ്...മമ്മൂക്കയുടെ mamengam എന്ന ബോർ ട്രയ്ലർ ആണ്.🤧🤧
Not_offensive 	 Bgm പോരാ വല്ലാത്ത അരോജകം . Attitude
Not_offensive 	 Hmm ..trailer kandappo  oru kaaryam theerumaanamaayi
Not_offensive 	 Enne polle 12 vattathille kuduthalle kandavarre arune
Not_offensive 	 മിഥുൻ എല്ലതരം സിനിമയും ചെയ്യുന്ന ഒരു മികച്ച സംവിധായകൻ ആണ്  ആട് വേറേ ലെവൽ
Not_offensive 	 പടം കണ്ട് trailer കാണുമ്പോഴാ അതിന്റെ ഒരു ത്രില്ല് കിടുക്കി കളഞ്ഞു
Not_offensive 	 Nammala Lalettan fans 1 like adiche
Offensive	 നല്ല മൂഞ്ചിയ bgm... നല്ല ഒരു പശ്‌ചതലസംഗീതം കൂടി ഉണ്ടായിരുന്നെങ്കിൽ വേറെ ലെവലിൽ പോകേണ്ട ട്രയ്ലർ
Offensive	 Mammunikal kuthiyirunn Dislike adikunund🤣🤣bloody patti theetams
Not_offensive 	 Jayachettan keeee jayi.... Love u etta....
Not_offensive 	 Pulimuruga 2.0 ethakka panda lalettan vittathaaaa... Ellanne parayan pattuooo...
Not_offensive 	 Padam kandavar ivide kayari comment adike
Not_offensive 	 Vysakhinte direction aayath kondaanenn thonnunnu...raajayk oru pulimurugan touch
Not_offensive 	 ടിനി ടോമിന്റെ അടുത്ത 50 കോടി ലോഡിങ്
Not_offensive 	 Raju ettan villan aano ennu samshayikunnavar aarokke
Not_offensive 	 അത് ശരി അപ്പോൾ FAN ഇന്റെ മലയാളം version ആണല്ലേ
Not_offensive 	 Oru rakshayum illatha film. Film kanda manassu nirayum 
Not_offensive 	 Oru A padathinte peru pole und.
Not_offensive 	 Trailer 20 ill kooduthal kandavar like here
Not_offensive 	 1:14 Fahad fasil aano auto erangiyath🤔🤔
Offensive	 ഈദ് ഏതാ ഒരു പോൺഹ തടിയൻ KOMALI
Not_offensive 	 Kali benda mwone ikka mess aane
Not_offensive 	 All Kerala mohanlal fans nte power onnu kanichu kodukk.....like ..
Not_offensive 	 ikkante eazhrikath varilla ikkante varunnu kunjali marakkar  WAITING IKKA POLIKKUM
Not_offensive 	 Shahrukh khan nde fan cinema pole tonunu...adilum revenge aanu ...endaaylum idu polikum
Not_offensive 	 Last atte aa adi polichu ...
Not_offensive 	 ഇനി ദിലീപെട്ടൻ എത്ര പടം ചെയ്താലും മഞ്ജുചേച്ചീടെ ഏഴയലത്ത് എത്തില്ല.....പെണ്ണിന്റെ പവർ കാണിച്ച ലേഡി
Not_offensive 	 Erangunnathinu munbu Thane 4.2k like aayi trailern
Not_offensive 	 ഇപ്പോൾ മലയാളത്തിൽ ഇത്തരം ശക്തമായ സ്ത്രീ കഥാപാത്രങ്ങൾ ചെയ്യാൻ  ഒരേ ഒരാൾ മഞ്ജു ചേച്ചി മാത്രം......
Not_offensive 	 Ithu njan 10il kooduthal  kandu
Offensive	 yeah kollam surya tvil verunna serial polea und..
Not_offensive 	 Ith surajinte padamaane enne thoniyarvar like adikku
Not_offensive 	 Kgf movie kanda pola oru feel..... Endhayalum laleta kalakki
Not_offensive 	 ഇത് ഒരു ആക്ഷൻ + ത്രില്ല് +മാസ്സ് + പ്രതികാരം ആണെന്ന് ഉള്ളവർ ലൈക് അടിച്ചോ...കട്ട wait..
Not_offensive 	 Padaaam oruuu variety annuuu annnuuu tonnuunnavr like adichaa
Not_offensive 	 1 divasam 3l kudutal tavane kanunavar arokke und
